7.64	48.549	France
6.15	48.65	France
6.15	48.65	France
-52.365	4.822	France
-52.365	4.822	France
5.088	47.267	France
5.088	47.267	France
5.088	47.267	France
5.088	47.267	France
5.088	47.267	France
5.088	47.267	France
55.452	-20.874	France
55.452	-20.874	France
-62.852	17.901	France
-62.852	17.901	France
2.316	49.883	France
2.316	49.883	France
4.937	45.726	France
4.937	45.726	France
4.937	45.726	France
4.937	45.726	France
4.937	45.726	France
4.937	45.726	France
4.937	45.726	France
4.937	45.726	France
4.922	45.523	France
4.922	45.523	France
4.922	45.523	France
4.922	45.523	France
6.221	48.687	France
6.221	48.687	France
6.221	48.687	France
6.221	48.687	France
6.221	48.687	France
6.221	48.687	France
-1.608	47.15	France
-1.608	47.15	France
7.115	43.583	France
7.115	43.583	France
7.127	43.59	France
7.127	43.59	France
7.209	43.648	France
7.209	43.648	France
164.284	-20.558	France
164.284	-20.558	France
166.452	-22.276	France
166.452	-22.276	France
166.222	-22.017	France
166.222	-22.017	France
-0.41	43.38	France
-0.41	43.38	France
-0.41	43.38	France
-0.41	43.38	France
-0.41	43.38	France
-0.41	43.38	France
-0.41	43.38	France
-0.41	43.38	France
4.05	49.306	France
4.05	49.306	France
-0.02	48.743	France
-0.02	48.743	France
-0.02	48.743	France
-0.02	48.743	France
-3.435	47.762	France
-3.435	47.762	France
-1.734	48.06	France
-1.734	48.06	France
3.748	48.503	France
3.748	48.503	France
3.748	48.503	France
3.748	48.503	France
70.243	-49.352	France
70.243	-49.352	France
70.243	-49.352	France
70.243	-49.352	France
140.001	-66.663	France
140.001	-66.663	France
77.569	-37.795	France
77.569	-37.795	France
-61.063	14.617	France
-61.063	14.617	France
-61.063	14.617	France
-61.063	14.617	France
55.431	-20.884	France
55.431	-20.884	France
55.431	-20.884	France
55.431	-20.884	France
141.416	66.833	France
141.416	66.833	France
-52.365	4.822	France
-52.365	4.822	France
-52.365	4.822	France
-52.365	4.822	France
-56.179	46.766	France
-56.179	46.766	France
-56.179	46.766	France
-56.179	46.766	France
3.206	49.818	France
3.206	49.818	France
-4.412	48.444	France
-4.412	48.444	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
-0.691	44.831	France
-0.691	44.831	France
-4.412	48.444	France
-4.412	48.444	France
4.937	45.726	France
4.937	45.726	France
6.221	48.687	France
6.221	48.687	France
4.406	43.856	France
4.406	43.856	France
2.009	48.774	France
2.009	48.774	France
-149.583	-17.548	Polynésie_française
-149.583	-17.548	Polynésie_française
-151.756	-16.491	France
-151.756	-16.491	France
-151.756	-16.491	France
-151.756	-16.491	France
-151.756	-16.491	France
-151.756	-16.491	France
-149.566	-17.533	France
-149.566	-17.533	France
55.452	-20.874	France
55.452	-20.874	France
55.452	-20.874	France
55.452	-20.874	France
-145.025	-14.454	Polynésie_française
-145.025	-14.454	Polynésie_française
-145.025	-14.454	Polynésie_française
-145.025	-14.454	Polynésie_française
-145.025	-14.454	Polynésie_française
-145.025	-14.454	Polynésie_française
-145.025	-14.454	Polynésie_française
-145.025	-14.454	Polynésie_française
2.642	47.06	France
2.642	47.06	France
2.642	47.06	France
2.009	48.774	France
2.009	48.774	France
2.009	48.774	France
2.009	48.774	France
2.009	48.774	France
2.009	48.774	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
8.792	41.918	France
-0.691	44.831	France
-0.691	44.831	France
-0.691	44.831	France
-0.691	44.831	France
-0.691	44.831	France
-4.412	48.444	France
-4.412	48.444	France
-4.412	48.444	France
-4.412	48.444	France
-4.412	48.444	France
4.937	45.726	France
4.937	45.726	France
4.937	45.726	France
4.937	45.726	France
4.937	45.726	France
4.406	43.856	France
4.406	43.856	France
4.406	43.856	France
4.406	43.856	France
4.406	43.856	France
5.104	43.603	France
5.104	43.603	France
5.104	43.603	France
7.64	48.549	France
7.64	48.549	France
7.64	48.549	France
7.64	48.549	France
7.64	48.549	France
1.378	43.621	France
1.378	43.621	France
1.378	43.621	France
1.378	43.621	France
1.378	43.621	France
2.009	48.774	France
2.009	48.774	France
2.009	48.774	France
2.009	48.774	France
2.009	48.774	France
7.753	48.562	France
7.753	48.562	France
2.009	48.774	France
2.009	48.774	France
2.009	48.774	France
2.009	48.774	France
-149.566	-17.533	France
-149.566	-17.533	France
2.009	48.774	France
2.009	48.774	France
2.009	48.774	France
-149.583	-17.548	Polynésie_française
-149.583	-17.548	Polynésie_française
-149.566	-17.533	Polynésie_française
-149.566	-17.533	Polynésie_française
-149.566	-17.533	Polynésie_française
-149.566	-17.533	Polynésie_française
-149.566	-17.533	Polynésie_française
-149.566	-17.533	Polynésie_française
-4.508	48.375	France
