1.4	41.6
1.98	41.48
3.07	30.55
0.07	34.15
6.78	33.5
1	33.68
3.8	32.4
-1.85	35.1
7.47	36.46
7.45	36.47
7.45	36.47
6.15	31.67
8.43	26.5
9.63	28.05
5.77	19.57
2.5	27.23
5.86	36.81
5.88	36.82
7.08	35.47
2.32	35.24
-1.78	34.82
0.15	35.22
0.17	35.37
-0.28	33.52
2.73	36.28
0.08	35.89
4.5	35.67
-0.3	33.27
-0.65	35.7
-0.82	35.77
-0.6	35.7
-0.6	35.63
5.4	31.93
7.12	35.87
0.15	34.83
5.32	36.18
5.25	36.18
6.9	36.88
7.97	36.28
5.43	22.8
8.13	35.42
1.33	36.5
1.47	35.35
0.28	29.25
-8.17	27.7
4.05	36.7
-1.28	34.95
-1.47	35.02
6.08	33.07
7.78	36.97
3.03	36.77
3.1	36.77
2.69	36.65
3.68	36.15
3.15	36.71
0.13	34.84
8.45	36.89
3.03	36.77
7.72	36.5
-0.98	35.223
6.897	36.6
2.779	35.75
-0.579	35.308
6.431	35.483
5.917	34.868
0.617	33.067
7.833	36.081
7.952	35.457
1.149	35.279
0.247	35.48
-2.194	35.083
-1.277	34.845
0.233	35.387
-0.198	35.539
2.558	36.166
1.515	34.695
0.001	35.664
-0.078	35.307
8.325	35.504
0.286	35.471
-0.216	34.935
5.178	36.339
6.014	35.57
7.907	36.765
3.521	33.886
6.481	36.384
5.44	34.479
1.752	35.432
-1.43	35.06
0.318	35.429
3.151	35.889
7.675	35.638
1.819	35.609
-0.951	35.39
6.431	35.787
0.756	35.72
5.405	36.394
-0.772	35.251
7.388	37.076
5.789	36.669
0.094	35.037
-0.744	34.977
-0.821	34.506
-0.232	35.238
6.459	36.99
1.498	35.189
-1.224	35.079
6.618	36.14
5.695	36.148
-1.732	34.853
1.972	36.267
3.703	34.474
0.043	35.521
-0.389	35.471
5.339	36.049
6.176	36.171
7.39	35.803
6.283	36.76
0.195	35.427
6.238	36.283
5.991	36.137
6.837	36.648
5.063	34.437
1.157	35.726
7.67	36.912
4.761	36.896
8.239	36.947
6.567	37.008
0.083	35.121
0.23	36.113
-0.864	35.688
6	36.388
6.274	36.458
6.876	35.983
6.577	36.04
2.833	36.474
6.63	36.5
3.22	36.68
3.1	36.7833
3.035	36.798
6.47	37.08
5.11	36.78
3.04	36.8
2.08	34.124
6.288	36.244
6.695	36.265
6.716	36.535
4.2	36.63
6.79	36.125
2.85	33.8
7.456	36.836
0.002	35.231
0.65	35.7
-0.63	35.2
-0.18	27.82
-0.6	32.77
3.07	36.78
6.1	36.7833
7.82	36.83
-0.3	35.83
4.77	36.07
0.95	21.33
5.34	35.34
6.32	35.75
-2.17	30.13
-1.35	35.3
5.73	34.8
5.73	34.8
7.72	36.5
4.2	35.17
3.88	36.38
1.33	36.2
5.1	36.75
5.07	36.72
-2.25	31.5
-2.18	31.62
-2.2	31.6
1.34	36.17
8.45	36.9
5.4	36.18
2.23	36.3
3.94	36.9
9.47	24.27
3.25	34.67
1	33.67
1.64	42.5789
1.64	42.5789
1.64	42.5789
1.5661	42.5169
1.5514	42.5169
1.5661	42.5169
1.5544	42.5156
1.5544	42.5156
1.5544	42.5156
44.18	40.48
44.72	39.82
46.33	39.51
43.85	40.75
44.759	40.497
45.75	40.23
46.25	38.9
44.3289	41.023
44.5	40.2
18.43	43.87
18.28	43.72
23.3847	42.6553
24.0696	43.48
24.7007	43.1633
26.5079	43.5662
27.9525	43.2125
26.3399	42.6777
25.3853	41.6468
23.2674	41.5501
22.7131	42.2838
22.8526	43.9942
15.98	45.82
14.45	45.3333
14.7	45.1667
18.0833	42.65
16.45	43.1667
14.4833	44.5333
14.9	45
16.2667	42.4
13.85	44.8667
13.6333	45.1
16.4333	43.5167
15.9167	43.7333
15.2167	44.1333
16.6667	43.7167
33.35	35.17
33.3722	35.185
32.4139	34.7583
32.4278	34.7722
29.95	31.2
31.02	27.05
32.78	23.95
28.9	28.33
29	25.48
31.29	30.08
33.72	27.15
31.17	30.98
27.22	31.33
32.23	31.28
25.48	29.2
32.47	29.87
33.65	28.21
25.18	31.55
25.12	31.57
25.9	31.62
25.97	31.63
28.43	31.02
29.82	31.13
31.52	30.94
29.93	31.17
31.77	31.47
31.82	31.42
32.23	31.28
33.82	31.08
33.84	31.07
30.47	31.03
31.08	31.04
31.47	31.05
31.12	30.84
30.7	30.65
30	30.78
31.5	30.58
31.02	30.6
31.41	30.12
31.37	30.08
30.92	30.12
31.36	30.09
31.18	30.07
31.25	30.05
30.63	29.33
30.85	29.3
31.02	29.2
30.73	29.08
30.73	28.08
31.17	27.2
32.24	26.05
32.73	26.18
32.71	26.2
32.71	25.67
25.52	29.25
27.98	27.05
30.53	25.45
32.1	30.57
32.23	30.58
32.53	30.05
32.57	29.93
35.25	26.13
33.73	27.28
29.8833	31.2
31.21	30.03
31.34	29.86
32.23	30.6
2.9	42.6856
1.3788	43.621
5.2267	43.4417
7.209	43.6488
2.8728	42.7372
1.3717	43.54
1.4633	43.6117
1.4633	43.6117
1.4633	43.6117
3.963	43.577
3.8733	43.6083
3.8733	43.6083
2.885	42.7017
5.3967	43.305
23.73	38
27.08	36.8
27.06	36.47
23.53	41.06
24.15	41.15
24.88	41.13
26.3	41.2
21.4	40.78
21.26	40.45
22.05	40.8
22.55	40.6
22.96	40.51
24.61	40.91
22.95	40.85
20.73	40.05
21.83	40.28
19.91	39.61
20.81	39.7
20.76	38.91
21.76	39.51
22.45	39.65
25.23	39.91
21	39.16
22.71	37.4
23.5	39.16
22.95	39.36
25.36	37.1
22.01	37.06
21.41	38.36
22.43	38.86
21.73	38.08
23.73	37.9
24.03	35.5
22.95	37.93
28.08	36.4
28.08	36.4
26.91	37.68
26.13	38.35
23.6	38.46
24.1	38.63
26.6	39.05
26.6	39.05
25.18	35.33
21.35	38.6
34.8	31.25
34.7833	31.2333
34.7997	32
35.2298	31.79
35.246	31.78
35.2217	31.7806
34.47	31.5
34.7167	31.2667
32.9667	35.5
34	32.1
34.779	32.104
34.779	32.104
34.98	31.832
35.102	32.9317
35.0874	32.9368
34.68	31.66
34.68	31.66
35.078	32.74
34.939	32.574
34.95	32.38
34.95	32.38
34.95	32.45
34.8261	32.1269
34.784	32.031
35.57	33.24
35.22	32.66
35.256	32.662
35.286	32.65
35.307	32.602
35.361	32.565
35.119	31.809
35.57	33.02
34.519	31.305
34.52	31.306
34.746	31.413
34.64	31.5
35.43	32.51
35.525	32.422
35.574	32.709
34.787	32.073
35	32.82
34.991	32.821
34.9925	32.8221
35.507	32.98
34.95	29.55
34.95	29.55
34.79	30.87
34.79	30.87
34.9762	31.7248
34.9762	31.7248
35.2363	31.7848
34.7995	31.2515
34.7995	31.2515
34.789	31.239
35.2219	31.7771
35.2308	31.778
35.61	33.17
34.81	31.75
14.7403	41.1042
9.5	39.1
7.7	45.9
7.65	45.2167
9.2667	45.45
10.2667	45.4
8.7167	45.6167
10.8667	45.3833
11.5167	45.5667
12.1	45.6833
10.5333	46.75
11.0333	46.15
12.2167	46.7333
13.75	45.6667
13.5833	46.5
9.9833	44.0833
8.1667	43.95
10.7	44.1833
11.6167	44.8333
12.6167	44
11.3	44.5333
10.3833	43.6833
10.4	42.7333
11.05	42.7333
12.5	43.0833
13.3667	43.6167
12.7167	43.5167
12.2	42.1
12.5833	41.7833
12.95	40.9167
13.2833	41.6333
12.9667	42.45
14.2	42.4167
15	42
14.65	41.5667
15.25	41.05
14.3167	41.0667
15.2667	40.0167
15.95	41.7
15.7167	41.5333
16.75	41.1333
17.9333	40.6333
18.1333	40.2333
18.3333	39.8167
15.8	40.6333
16.0167	40.0833
16.3833	39.3167
15.65	38.0667
13.1833	38.7
11.95	36.8
13.3	38.1
15.05	37.45
8.2833	40.6167
9.7	39.9167
9.05	39.2333
11.0333	46.15
7.7167	45.0333
9.7333	44.9
12.1833	45.65
12.2833	44.4667
11.85	43.4667
12.4167	41.65
16.9333	40.7667
12.5	37.9167
14.9167	37.4
15.1167	36.6833
8.45	39.7333
8.9667	39.35
35.6167	32.6667
35.6167	32.2167
35.4833	31.05
35.0167	29.6
35.85	32.5333
35.8	32.3667
35.9833	31.9833
35.9833	31.7167
35.5167	30.5
36.25	32.35
37.15	32.15
36.15	30.2833
35.48	33.82
35.47	33.9
36	33.85
35.82	34.45
36.05	34.25
36.38	34.4
35.85	33.5
35.87	33.82
13.02	32.53
20.08	32.13
22.68	32.69
9.5	30.1333
14.45	27.02
20.56	32.43
12.55	32.08
12.73	32.75
13.28	32.9
20.35	32.07
10.17	24.95
14.27	32.65
21.54	29.03
13.22	32.87
13.15	32.6667
10.9833	31.8667
12.0833	32.8833
12.05	32.4167
16.5833	31.2
20.17	30.72
20.2667	32.0833
21.8833	32.8
22.66	32.76
23.9333	32.1
15.95	29.1167
